A,Agilent Technolog,NYSE
B,Barnes Group,NYSE
C,Citigroup,NYSE
D,Dominion Resource,NYSE
E,ENI S.p.A. Common,NYSE
F,Ford Motor Compan,NYSE
G,Genpact Limited C,NYSE
H,Hyatt Hotels Corp,NYSE
K,Kellogg Company C,NYSE
L,Loews Corporation,NYSE
M,Macy's Inc Common,NYSE
N,Netsuite Inc Comm,NYSE
O,Realty Income Cor,NYSE
P,Pandora Media,NYSE
R,Ryder System,NYSE
S,Sprint  Nextel Co,NYSE
T,AT&T Inc.,NYSE
V,Visa Inc. Visa In,NYSE
X,United States Ste,NYSE
Y,Alleghany Corpora,NYSE
Z,Zillow,NGM
AA,Alcoa Inc. Common,NYSE
AB,Allianceberstein ,NYSE
AE,Adams Resources &,AMEX
AF,Astoria Financial,NYSE
AG,First Majestic Si,NYSE
AH,Accretive Health,NYSE
AI,Arlington Asset I,NYSE
AL,Air Lease Corpora,NYSE
AM,American Greeting,NYSE
AN,AutoNation,NYSE
AP,Ampco-Pittsburgh ,NYSE
AT,Atlantic Power Co,NYSE
AU,AngloGold Ashanti,NYSE
AV,Aviva plc Unspons,NYSE
BA,Boeing Company (T,NYSE
BC,Brunswick Corpora,NYSE
BG,Bunge Limited Bun,NYSE
BH,Biglari Holdings ,NYSE
BJ,BJ's Wholesale Cl,NYSE
BK,Bank of New York ,NYSE
BP,BP p.l.c. Common ,NYSE
BR,Broadridge Financ,NYSE
BT,BT Group plc Comm,NYSE
BX,The Blackstone Gr,NYSE
BZ,Boise Inc Boise I,NYSE
CA,CA Inc.,NasdaqNM
CB,Chubb Corporation,NYSE
CE,Celanese Corporat,NYSE
CF,CF Industries Hol,NYSE
CH,Aberdeen Chile Fu,AMEX
CI,CIGNA Corporation,NYSE
CL,Colgate-Palmolive,NYSE
CM,Canadian Imperial,NYSE
CO,China Cord Blood ,NYSE
CP,Canadian Pacific ,NYSE
CR,Crane Company Com,NYSE
CS,Credit Suisse Gro,NYSE
CT,Capital Trust,NYSE
CU,First Trust ISE G,NGM
CV,Central Vermont P,NYSE
CW,Curtiss-Wright Co,NYSE
CX,Cemex,NYSE
CY,Cypress Semicondu,NasdaqNM
DB,Deutsche Bank AG ,NYSE
DD,E.I. du Pont de N,NYSE
DE,Deere & Company C,NYSE
DF,Dean Foods Compan,NYSE
DG,Dollar General Co,NYSE
DK,Delek US Holdings,NYSE
DL,China Distance Ed,NYSE
DM,Dolan Company (Th,NYSE
DO,Diamond Offshore ,NYSE
DQ,DAQQ New Energy C,NYSE
DV,DeVry Inc. Common,NYSE
DW,Drew Industries I,NYSE
DX,Dynex Capital,NYSE
DY,Dycom Industries,NYSE
EC,Ecopetrol S.A. Am,NYSE
ED,Consolidated Edis,NYSE
EE,El Paso Electric ,NYSE
EF,Edelman Financial,NasdaqNM
EJ,E-House (China) H,NYSE
EK,Eastman Kodak Com,NYSE
EL,Estee Lauder Comp,NYSE
EM,Emdeon Inc. Class,NYSE
EP,El Paso Corporati,NYSE
ES,EnergySolutions I,NYSE
EU,WisdomTree Dreyfu,PCX
EV,Eaton Vance Corpo,NYSE
EW,Edwards Lifescien,NYSE
FC,Franklin Covey Co,NYSE
FE,FirstEnergy Corpo,NYSE
FF,FutureFuel Corp. ,NYSE
FL,Footlocker Inc.,NYSE
FN,Fabrinet Ordinary,NYSE
FO,Fortune Brands,NYSE
FR,First Industrial ,NYSE
FT,Franklin Universa,NYSE
GA,Giant Interactive,NYSE
GB,Greatbatch,NYSE
GD,General Dynamics ,NYSE
GE,General Electric ,NYSE
GF,New Germany Fund,NYSE
GG,Goldcorp Incorpor,NYSE
GM,General Motors Co,NYSE
GR,Goodrich Corporat,NYSE
GS,Goldman Sachs Gro,NYSE
GT,Goodyear Tire & R,NYSE
GU,Gushan Environmen,NYSE
GV,Goldfield Corpora,AMEX
GY,GenCorp Inc. Comm,NYSE
HA,Hawaiian Holdings,NasdaqNM
HD,Home Depot,NYSE
HE,Hawaiian Electric,NYSE
HF,HFF,NYSE
HH,Hooper Holmes,AMEX
HI,Hillenbrand Inc C,NYSE
HL,Hecla Mining Comp,NYSE
HP,Helmerich & Payne,NYSE
HR,Healthcare Realty,NYSE
HS,Healthspring,NYSE
HT,Hersha Hospitalit,NYSE
HW,Headwaters Incorp,NYSE
IF,Aberdeen Indonesi,AMEX
IG,IGI,AMEX
IL,IntraLinks Holdin,NYSE
IM,Ingram Micro Inc.,NYSE
IN,Intermec Inc. Com,NYSE
IO,Ion Geophysical C,NYSE
IP,International Pap,NYSE
IR,Ingersoll-Rand pl,NYSE
IT,Gartner,NYSE
IX,Orix Corp Ads Com,NYSE
JO,iPath DJ-UBS Coff,PCX
KB,KB Financial Grou,NYSE
KF,Korea Fund,NYSE
KH,China Kanghui Hol,NYSE
KO,Coca-Cola Company,NYSE
KR,Kroger Company (T,NYSE
KS,KapStone Paper an,NYSE
KT,KT Corporation Co,NYSE
KW,Kennedy-Wilson Ho,NYSE
LD,iPath DJ-UBS Lead,PCX
LF,Leapfrog Enterpri,NYSE
LG,Laclede Gas Compa,NYSE
LH,Laboratory Corpor,NYSE
LL,Lumber Liquidator,NYSE
LM,Legg Mason,NYSE
LO,Lorillard,NYSE
MA,Mastercard Incorp,NYSE
MD,Mednax,NYSE
MF,MF Global Holding,NYSE
MG,Mistras Group Inc,NYSE
MO,Altria Group,NYSE
MR,Mindray Medical I,NYSE
MS,Morgan Stanley Co,NYSE
MT,Arcelor Mittal NY,NYSE
MU,Micron Technology,NasdaqNM
MW,Men's Wearhouse,NYSE
MX,MagnaChip Semicon,NYSE
MY,China Ming Yang W,NYSE
NC,NACCO Industries,NYSE
NE,Noble Corporation,NYSE
NG,Novagold Resource,AMEX
NI,NiSource Inc Comm,NYSE
NJ,Nidec Corporation,NYSE
NL,NL Industries,NYSE
NM,Navios Maritime H,NYSE
NP,Neenah Paper,NYSE
NQ,NetQin Mobile Inc,NYSE
NR,Newpark Resources,NYSE
NS,Nustar Energy L.P,NYSE
NU,Northeast Utiliti,NYSE
NX,Quanex Building P,NYSE
NY,iShares NYSE 100 ,PCX
OB,OneBeacon Insuran,NYSE
OC,Owens Corning Inc,NYSE
OI,Owens-Illinois,NYSE
PC,Panasonic Corpora,NYSE
PG,Procter & Gamble ,NYSE
PH,Parker-Hannifin C,NYSE
PL,Protective Life C,NYSE
PM,Philip Morris Int,NYSE
PQ,Petroquest Energy,NYSE
PT,Portugal Telecom ,NYSE
PW,Pittsburgh & West,AMEX
PX,Praxair,NYSE
RA,RailAmerica,NYSE
RC,Grupo Radio Centr,NYSE
RE,Everest Re Group,NYSE
RF,Regions Financial,NYSE
RL,Ralph Lauren Corp,NYSE
RP,RealPage,NasdaqNM
RS,Reliance Steel & ,NYSE
RT,Ruby Tuesday,NYSE
RY,Royal Bank Of Can,NYSE
SA,Seabridge Gold,AMEX
SB,Safe Bulkers,NYSE
SD,Sandridge Energy ,NYSE
SE,Spectra Energy Co,NYSE
SF,Stifel Financial ,NYSE
SH,ProShares Short S,PCX
SI,Siemens AG Americ,NYSE
SM,SM Energy Company,NYSE
SO,Southern Company ,NYSE
SR,Standard Register,NYSE
ST,Sensata Technolog,NYSE
SU,Suncor Energy  In,NYSE
TA,TravelCenters of ,AMEX
TC,Thompson Creek Me,NYSE
TD,Toronto Dominion ,NYSE
TE,TECO Energy,NYSE
TF,Thai Capital Fund,AMEX
TG,Tredegar Corporat,NYSE
TI,Telecom Italia S.,NYSE
TK,Teekay Corporatio,NYSE
TM,Toyota Motor Corp,NYSE
TR,Tootsie Roll Indu,NYSE
TS,Tenaris S.A. Amer,NYSE
TU,TELUS Corporation,NYSE
TV,Grupo Televisa S.,NYSE
TW,Towers Watson & C,NYSE
TX,Ternium S.A. Tern,NYSE
TY,Tri Continental C,NYSE
UA,Under Armour,NYSE
UG,United-Guardian,NGM
UL,Unilever PLC Comm,NYSE
UN,Unilever NV Commo,NYSE
VB,Vanguard Small-Ca,PCX
VC,Visteon Corporati,NYSE
VE,Veolia Environn A,NYSE
VG,Vonage Holdings C,NYSE
VO,Vanguard Mid-Cap ,PCX
VQ,Venoco,NYSE
VR,Validus Holdings,NYSE
VT,Vanguard Total Wo,PCX
VV,Vanguard Large-Ca,PCX
VZ,Verizon Communica,NYSE
WD,Walker & Dunlop,NYSE
WF,Woori Finance Hol,NYSE
WG,Willbros Group,NYSE
WH,WSP Holdings Limi,NYSE
WM,Waste Management,NYSE
WR,Westar Energy,NYSE
WU,Western Union Com,NYSE
WX,Wuxi Pharmatech (,NYSE
WY,Weyerhaeuser Comp,NYSE
XG,Extorre Gold Mine,AMEX
XL,XL Group plc,NYSE
ZA,Zuoan Fashion Lim,NYSE
ZF,Zweig Fund,NYSE
ZN,Zion Oil & Gas In,NGM
ZX,China Zenix Auto ,NYSE
ZZ,Sealy Corporation,NYSE
